model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_heterogeneous_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,homophily_strength
consensus,homogeneous,50,0,6,0.3,0.2,0,0.3,false,0.05,0.1,0.1,0.05,4.34257261248481E+018,15,0.0724120788241586,4.11299281013E-06,2.98318128788E-06,1,3,-0.2,1.66666666666667,0.3
consensus,homogeneous,30,0,5,0.1,0.5,0.8,0.3,false,0.05,0.1,0.1,0.05,4.34257261248481E+018,40,0.0575152844251881,8.640366212223E-05,6.593967994872E-05,1,4,0.3,0,0.7
consensus,homogeneous,50,0,6,0.3,0.2,0,0.3,false,0.05,0.1,0.1,0.05,1.84114252416859E+018,15,0.0724120788241586,4.11299281013E-06,2.98318128788E-06,1,3,-0.2,1.66666666666667,0.3
consensus,homogeneous,50,0,6,0.3,0.2,0,0.3,false,0.05,0.1,0.1,0.05,7.04337208916658E+018,15,0.0724120788241586,4.11299281013E-06,2.98318128788E-06,1,3,-0.2,1.66666666666667,0.3
consensus,homogeneous,50,0,6,0.3,0.2,0,0.3,false,0.05,0.1,0.1,0.05,8.80361844505413E+018,15,0.0724120788241586,4.11299281013E-06,2.98318128788E-06,1,3,-0.2,1.66666666666667,0.3
consensus,homogeneous,30,0,5,0.1,0.5,0.8,0.3,false,0.05,0.1,0.1,0.05,7.04337208916658E+018,40,0.0575152844251881,8.640366212223E-05,6.593967994872E-05,1,4,0.3,0,0.7
consensus,homogeneous,50,0,6,0.3,0.2,0,0.3,false,0.05,0.1,0.1,0.05,4.47792793694704E+018,15,0.0724120788241586,4.11299281013E-06,2.98318128788E-06,1,3,-0.2,1.66666666666667,0.3
consensus,homogeneous,50,0,6,0.3,0.2,0,0.3,false,0.05,0.1,0.1,0.05,4.28636038694465E+018,15,0.0724120788241586,4.11299281013E-06,2.98318128788E-06,1,3,-0.2,1.66666666666667,0.3
consensus,heterogeneous,42,2,2,0.5,0.5,0.8,0.2,false,0.05,0.1,0.1,0.05,4.6926904669588E+018,15,0.168350368932924,2.83314734E-09,2.95173223E-09,1,4,0.3,0,0
consensus,heterogeneous,42,2,2,0.5,0.5,0.8,0.2,false,0.05,0.1,0.1,0.05,8.63617513033061E+018,15,0.168350368932924,2.83314734E-09,2.95173223E-09,1,4,0.3,0,0
consensus,heterogeneous,42,2,2,0.5,0.5,0.8,0.2,false,0.05,0.1,0.1,0.05,7.24071359189169E+018,15,0.168350368932924,2.83314734E-09,2.95173223E-09,1,4,0.3,0,0
consensus,heterogeneous,42,2,2,0.5,0.5,0.8,0.2,false,0.05,0.1,0.1,0.05,7.13900204836315E+018,15,0.168350368932924,2.83314734E-09,2.95173223E-09,1,4,0.3,0,0
consensus,heterogeneous,42,2,2,0.5,0.5,0.8,0.2,false,0.05,0.1,0.1,0.05,1.84114252416859E+018,15,0.168350368932924,2.83314734E-09,2.95173223E-09,1,4,0.3,0,0
consensus,heterogeneous,42,2,2,0.5,0.5,0.8,0.2,false,0.05,0.1,0.1,0.05,8.80361844505413E+018,15,0.168350368932924,2.83314734E-09,2.95173223E-09,1,4,0.3,0,0
consensus,heterogeneous,42,2,2,0.5,0.5,0.8,0.2,false,0.05,0.1,0.1,0.05,6.90547037085634E+018,15,0.168350368932924,2.83314734E-09,2.95173223E-09,1,4,0.3,0,0
