model_type,current_condition,selected_debate_id,debate_label,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents,current_experiment_id,speaking_mode
consensus,heterogeneous,21,M27,146,0,0,0,0.694444444444445,0.6666666666666666,0.625,0.6666666666666666,0.5,0.5416666666666669,0.01066925416285628,0.6024059919351499,0.6388888888888884,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44444444444444503,0.5300925925925926,0.6166666666666666,0.06073932526848302,0.07231339934255732,0.03648289695373852,0.06426067473151675,0.06426067473151675,0.06426067473151675,0.15796154749070485,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1240575102848728060.0,30,false,nil,false
consensus,heterogeneous,21,M27,141,1,0,0,0.8333333333333334,0.625,0.125,0.7777777777777782,0.22222222222222165,0.6770833333333334,0.01066925416285628,0.6083212332680228,0.9166666666666666,0.5,0.25,0.7777777777777782,0.11111111111111167,0.6643518518518516,0.5111111111111113,-0.06876210006531058,0.05603061858382885,0.30834543339864384,0.10832123326802279,0.3583212332680228,0.16945654450975545,0.4972101221569111,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5463814170871761900.0,30,false,nil,false
consensus,heterogeneous,21,M27,142,1,0,0,0.8888888888888884,0.9583333333333334,0.375,0.8888888888888884,0.27777777777777835,0.704861111111111,0.01066925416285628,0.6093263100042281,0.9166666666666666,0.8333333333333334,0.25,0.944444444444445,0.38888888888888834,0.6736111111111108,0.6666666666666667,-0.09553480110688295,0.06428480110688273,0.30734035666243853,0.22400702332910527,0.3593263100042281,0.3351181344402169,0.22043742111533976,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5463814170871761900.0,30,false,nil,false
consensus,heterogeneous,21,M27,143,1,0,0,0.75,1.0,0.2916666666666667,0.7222222222222218,0.38888888888888834,0.7037037037037038,0.01066925416285628,0.609041060670796,0.805555555555555,1.0,0.25,0.6666666666666666,0.38888888888888834,0.7337962962962958,0.622222222222222,-0.09466264303290783,0.12475523562549984,0.19651449488475903,0.390958939329204,0.359041060670796,0.05762560599587063,0.22015217178190766,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5463814170871761900.0,30,false,nil,false
consensus,heterogeneous,21,M27,144,0,0,0,0.5,0.625,0.625,0.944444444444445,0.6111111111111116,0.4178240740740739,0.01066925416285628,0.5966912129286593,0.5277777777777782,0.7083333333333334,0.5833333333333334,0.944444444444445,0.5,0.4710648148148148,0.652777777777778,0.17886713885458544,0.12562639811384452,0.06891343515088111,0.11164212040467403,0.01335787959532597,0.34775323151578563,0.09669121292865934,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5463814170871761900.0,30,false,nil,false
consensus,heterogeneous,21,M27,145,0,0,0,0.694444444444445,0.625,0.625,0.7777777777777782,0.0,0.596064814814815,0.01066925416285628,0.6046916190313967,0.694444444444445,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.05555555555555499,0.5740740740740741,0.55,0.00862680421658168,0.03061754495732261,0.0897528254130483,0.02135828569806331,0.02135828569806331,0.2286417143019367,0.5491360634758417,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5463814170871761900.0,30,false,nil,false
consensus,heterogeneous,21,M27,146,0,0,0,0.694444444444445,0.6666666666666666,0.625,0.6666666666666666,0.5,0.5416666666666669,0.01066925416285628,0.6024059919351499,0.6388888888888884,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44444444444444503,0.5300925925925926,0.6166666666666666,0.06073932526848302,0.07231339934255732,0.03648289695373852,0.06426067473151675,0.06426067473151675,0.06426067473151675,0.15796154749070485,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5463814170871761900.0,30,false,nil,false
consensus,heterogeneous,21,M27,141,1,0,0,0.8333333333333334,0.625,0.125,0.7777777777777782,0.22222222222222165,0.6770833333333334,0.01066925416285628,0.6083212332680228,0.9166666666666666,0.5,0.25,0.7777777777777782,0.11111111111111167,0.6643518518518516,0.5111111111111113,-0.06876210006531058,0.05603061858382885,0.30834543339864384,0.10832123326802279,0.3583212332680228,0.16945654450975545,0.4972101221569111,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5499723562756220900.0,30,false,nil,false
consensus,heterogeneous,21,M27,142,1,0,0,0.8888888888888884,0.9583333333333334,0.375,0.8888888888888884,0.27777777777777835,0.704861111111111,0.01066925416285628,0.6093263100042281,0.9166666666666666,0.8333333333333334,0.25,0.944444444444445,0.38888888888888834,0.6736111111111108,0.6666666666666667,-0.09553480110688295,0.06428480110688273,0.30734035666243853,0.22400702332910527,0.3593263100042281,0.3351181344402169,0.22043742111533976,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5499723562756220900.0,30,false,nil,false
consensus,heterogeneous,21,M27,143,1,0,0,0.75,1.0,0.2916666666666667,0.7222222222222218,0.38888888888888834,0.7037037037037038,0.01066925416285628,0.609041060670796,0.805555555555555,1.0,0.25,0.6666666666666666,0.38888888888888834,0.7337962962962958,0.622222222222222,-0.09466264303290783,0.12475523562549984,0.19651449488475903,0.390958939329204,0.359041060670796,0.05762560599587063,0.22015217178190766,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5499723562756220900.0,30,false,nil,false
consensus,heterogeneous,21,M27,144,0,0,0,0.5,0.625,0.625,0.944444444444445,0.6111111111111116,0.4178240740740739,0.01066925416285628,0.5966912129286593,0.5277777777777782,0.7083333333333334,0.5833333333333334,0.944444444444445,0.5,0.4710648148148148,0.652777777777778,0.17886713885458544,0.12562639811384452,0.06891343515088111,0.11164212040467403,0.01335787959532597,0.34775323151578563,0.09669121292865934,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5499723562756220900.0,30,false,nil,false
consensus,heterogeneous,21,M27,145,0,0,0,0.694444444444445,0.625,0.625,0.7777777777777782,0.0,0.596064814814815,0.01066925416285628,0.6046916190313967,0.694444444444445,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.05555555555555499,0.5740740740740741,0.55,0.00862680421658168,0.03061754495732261,0.0897528254130483,0.02135828569806331,0.02135828569806331,0.2286417143019367,0.5491360634758417,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5499723562756220900.0,30,false,nil,false
consensus,heterogeneous,21,M27,146,0,0,0,0.694444444444445,0.6666666666666666,0.625,0.6666666666666666,0.5,0.5416666666666669,0.01066925416285628,0.6024059919351499,0.6388888888888884,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44444444444444503,0.5300925925925926,0.6166666666666666,0.06073932526848302,0.07231339934255732,0.03648289695373852,0.06426067473151675,0.06426067473151675,0.06426067473151675,0.15796154749070485,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5499723562756220900.0,30,false,nil,false
consensus,heterogeneous,21,M27,141,1,0,0,0.8333333333333334,0.625,0.125,0.7777777777777782,0.22222222222222165,0.6770833333333334,0.01066925416285628,0.6083212332680228,0.9166666666666666,0.5,0.25,0.7777777777777782,0.11111111111111167,0.6643518518518516,0.5111111111111113,-0.06876210006531058,0.05603061858382885,0.30834543339864384,0.10832123326802279,0.3583212332680228,0.16945654450975545,0.4972101221569111,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2251208997588056060.0,30,false,nil,false
consensus,heterogeneous,21,M27,142,1,0,0,0.8888888888888884,0.9583333333333334,0.375,0.8888888888888884,0.27777777777777835,0.704861111111111,0.01066925416285628,0.6093263100042281,0.9166666666666666,0.8333333333333334,0.25,0.944444444444445,0.38888888888888834,0.6736111111111108,0.6666666666666667,-0.09553480110688295,0.06428480110688273,0.30734035666243853,0.22400702332910527,0.3593263100042281,0.3351181344402169,0.22043742111533976,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2251208997588056060.0,30,false,nil,false
consensus,heterogeneous,21,M27,143,1,0,0,0.75,1.0,0.2916666666666667,0.7222222222222218,0.38888888888888834,0.7037037037037038,0.01066925416285628,0.609041060670796,0.805555555555555,1.0,0.25,0.6666666666666666,0.38888888888888834,0.7337962962962958,0.622222222222222,-0.09466264303290783,0.12475523562549984,0.19651449488475903,0.390958939329204,0.359041060670796,0.05762560599587063,0.22015217178190766,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2251208997588056060.0,30,false,nil,false
consensus,heterogeneous,21,M27,144,0,0,0,0.5,0.625,0.625,0.944444444444445,0.6111111111111116,0.4178240740740739,0.01066925416285628,0.5966912129286593,0.5277777777777782,0.7083333333333334,0.5833333333333334,0.944444444444445,0.5,0.4710648148148148,0.652777777777778,0.17886713885458544,0.12562639811384452,0.06891343515088111,0.11164212040467403,0.01335787959532597,0.34775323151578563,0.09669121292865934,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2251208997588056060.0,30,false,nil,false
consensus,heterogeneous,21,M27,145,0,0,0,0.694444444444445,0.625,0.625,0.7777777777777782,0.0,0.596064814814815,0.01066925416285628,0.6046916190313967,0.694444444444445,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.05555555555555499,0.5740740740740741,0.55,0.00862680421658168,0.03061754495732261,0.0897528254130483,0.02135828569806331,0.02135828569806331,0.2286417143019367,0.5491360634758417,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2251208997588056060.0,30,false,nil,false
consensus,heterogeneous,21,M27,146,0,0,0,0.694444444444445,0.6666666666666666,0.625,0.6666666666666666,0.5,0.5416666666666669,0.01066925416285628,0.6024059919351499,0.6388888888888884,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44444444444444503,0.5300925925925926,0.6166666666666666,0.06073932526848302,0.07231339934255732,0.03648289695373852,0.06426067473151675,0.06426067473151675,0.06426067473151675,0.15796154749070485,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2251208997588056060.0,30,false,nil,false
consensus,heterogeneous,21,M27,141,1,0,0,0.8333333333333334,0.625,0.125,0.7777777777777782,0.22222222222222165,0.6770833333333334,0.01066925416285628,0.6083212332680228,0.9166666666666666,0.5,0.25,0.7777777777777782,0.11111111111111167,0.6643518518518516,0.5111111111111113,-0.06876210006531058,0.05603061858382885,0.30834543339864384,0.10832123326802279,0.3583212332680228,0.16945654450975545,0.4972101221569111,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1303511102452083710.0,30,false,nil,false
consensus,heterogeneous,21,M27,142,1,0,0,0.8888888888888884,0.9583333333333334,0.375,0.8888888888888884,0.27777777777777835,0.704861111111111,0.01066925416285628,0.6093263100042281,0.9166666666666666,0.8333333333333334,0.25,0.944444444444445,0.38888888888888834,0.6736111111111108,0.6666666666666667,-0.09553480110688295,0.06428480110688273,0.30734035666243853,0.22400702332910527,0.3593263100042281,0.3351181344402169,0.22043742111533976,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1303511102452083710.0,30,false,nil,false
consensus,heterogeneous,21,M27,143,1,0,0,0.75,1.0,0.2916666666666667,0.7222222222222218,0.38888888888888834,0.7037037037037038,0.01066925416285628,0.609041060670796,0.805555555555555,1.0,0.25,0.6666666666666666,0.38888888888888834,0.7337962962962958,0.622222222222222,-0.09466264303290783,0.12475523562549984,0.19651449488475903,0.390958939329204,0.359041060670796,0.05762560599587063,0.22015217178190766,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1303511102452083710.0,30,false,nil,false
consensus,heterogeneous,21,M27,144,0,0,0,0.5,0.625,0.625,0.944444444444445,0.6111111111111116,0.4178240740740739,0.01066925416285628,0.5966912129286593,0.5277777777777782,0.7083333333333334,0.5833333333333334,0.944444444444445,0.5,0.4710648148148148,0.652777777777778,0.17886713885458544,0.12562639811384452,0.06891343515088111,0.11164212040467403,0.01335787959532597,0.34775323151578563,0.09669121292865934,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1303511102452083710.0,30,false,nil,false
consensus,heterogeneous,21,M27,145,0,0,0,0.694444444444445,0.625,0.625,0.7777777777777782,0.0,0.596064814814815,0.01066925416285628,0.6046916190313967,0.694444444444445,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.05555555555555499,0.5740740740740741,0.55,0.00862680421658168,0.03061754495732261,0.0897528254130483,0.02135828569806331,0.02135828569806331,0.2286417143019367,0.5491360634758417,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1303511102452083710.0,30,false,nil,false
consensus,heterogeneous,21,M27,146,0,0,0,0.694444444444445,0.6666666666666666,0.625,0.6666666666666666,0.5,0.5416666666666669,0.01066925416285628,0.6024059919351499,0.6388888888888884,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44444444444444503,0.5300925925925926,0.6166666666666666,0.06073932526848302,0.07231339934255732,0.03648289695373852,0.06426067473151675,0.06426067473151675,0.06426067473151675,0.15796154749070485,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1303511102452083710.0,30,false,nil,false
consensus,heterogeneous,21,M27,141,1,0,0,0.8333333333333334,0.625,0.125,0.7777777777777782,0.22222222222222165,0.6770833333333334,0.01066925416285628,0.6083212332680228,0.9166666666666666,0.5,0.25,0.7777777777777782,0.11111111111111167,0.6643518518518516,0.5111111111111113,-0.06876210006531058,0.05603061858382885,0.30834543339864384,0.10832123326802279,0.3583212332680228,0.16945654450975545,0.4972101221569111,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5505918295001282600.0,30,false,nil,false
